P31946	ENSG00000166913.13
A0A8I5KTQ4	ENSG00000118058.25
A0A8I5KWP7	ENSG00000272333.8
A0A8I5KY79	ENSG00000110074.12
A0A8I5QL42	ENSG00000137601.18
A0A5F9ZHD3	ENSG00000189045.15
A0AAQ5BHX5	ENSG00000141510.19
A0AAQ5BIG0	ENSG00000182150.20
A0A5F9ZGY2	ENSG00000122507.21
A0A5H1ZRQ6	ENSG00000211689.7
H7C3K4	ENSG00000164088.18
C9J3X8	ENSG00000144566.11
C9JH43	ENSG00000091129.22
C9JNN8	ENSG00000115165.10
C9JRD2	ENSG00000135924.17
C9JTY0	ENSG00000155749.13
C9JY57	ENSG00000115339.15
E7ENX6	ENSG00000173621.9
F5GXK2	ENSG00000119242.9
C9IYR8	ENSG00000285772.1
C9J172	ENSG00000094631.21
C9J3S3	ENSG00000128242.13
C9J6Q8	ENSG00000006042.12
C9JEC5	ENSG00000130822.16
C9JEW2	ENSG00000186522.15
C9JF06	ENSG00000153790.12
C9JRE2	ENSG00000150401.15
C9JU94	ENSG00000004809.14
C9JYB6	ENSG00000172530.22
B7ZBR9	ENSG00000126217.22
E5RHL3	ENSG00000134824.14
E9PD55	ENSG00000159200.18
E9PNJ9	ENSG00000110080.20
E9PNX6	ENSG00000159314.13
E9PP11	ENSG00000141279.18
E9PPG7	ENSG00000093144.19
E9PPK2	ENSG00000175115.13
E9PQ40	ENSG00000077782.23
E9PQE7	ENSG00000197971.16
E9PRZ1	ENSG00000166788.10
G3V2W3	ENSG00000165804.16
G3V302	ENSG00000125952.21
G3V3D2	ENSG00000042317.17
E5RJF1	ENSG00000104490.18
E9PLA3	ENSG00000010361.14
E9PMM8	ENSG00000079277.22
E9PR95	ENSG00000182919.15
G3V327	ENSG00000065357.20
H0Y447	ENSG00000102543.14
H0YA10	ENSG00000109452.13
H0YAR8	ENSG00000081059.20
H0YB33	ENSG00000169398.20
H0YJ72	ENSG00000092148.14
H0YNU6	ENSG00000022976.16
C9J4R3	ENSG00000115687.14
F5H5H9	ENSG00000111679.17
H0YAJ1	ENSG00000170482.17
H0YCB4	ENSG00000173039.20
H0YCI3	ENSG00000137693.14
F5H808	ENSG00000060339.14
U3KQ29	ENSG00000203705.11
A8MVH1	ENSG00000108688.11
B0QZ60	ENSG00000107077.21
F5H274	ENSG00000140853.17
H0YLI4	ENSG00000117899.11
H0YN64	ENSG00000259494.2
H0YNA8	ENSG00000105419.18
H3BV35	ENSG00000179335.20
I3L304	ENSG00000161940.11
H0YE06	ENSG00000203710.12
I3L3H3	ENSG00000108405.4
A0A8Q3SJ36	ENSG00000115317.13
A0A8Q3WKF7	ENSG00000114745.15
A0A8Q3WKT7	ENSG00000157131.12
A0A8Q3WM37	ENSG00000101003.12
A0A8V8TMG5	ENSG00000167323.13
A0A8V8TMP9	ENSG00000107719.10
A0A8V8TN05	ENSG00000070214.17
A0A8V8TN16	ENSG00000110719.11
A0A8V8TPY6	ENSG00000231925.14
A0A8V8TQC5	ENSG00000231925.14
A0A7P0T9E6	ENSG00000169446.6
A0A7P0TAF8	ENSG00000141252.21
A0A182DWI2	ENSG00000211452.12
A0A087WTJ2	ENSG00000281887.3
A0A087WWJ0	ENSG00000165995.24
A2A2N6	ENSG00000020256.20
D6RCC8	ENSG00000128059.8
H0Y9T8	ENSG00000248405.10
H0YHT6	ENSG00000111596.14
H0YMG1	ENSG00000103995.14
A0A087WTT1	ENSG00000070756.17
A0A087WUV7	ENSG00000188690.16
A0A087WV05	ENSG00000274944.4
A0A087X0N2	ENSG00000213625.9
M0QZF3	ENSG00000132872.12
M0R141	ENSG00000105072.9
A0A087X0G7	ENSG00000269335.7
H7C1C5	ENSG00000204003.8
A0A075B6F6	ENSG00000101294.19
F8VVR8	ENSG00000166268.11
H3BMC8	ENSG00000196628.20
H3BVF8	ENSG00000179335.20
M0QZL1	ENSG00000090013.11
S4R3U0	ENSG00000188321.14
G8JLA5	ENSG00000139910.20
D6R9C1	ENSG00000109339.24
D6R9M6	ENSG00000014824.14
D6R9N4	ENSG00000164512.18
D6RBZ0	ENSG00000197451.12
D6RDP1	ENSG00000138758.12
D6RGX7	ENSG00000109184.15
F8WBA6	ENSG00000151353.15
F8WBC0	ENSG00000127314.18
F8WCS6	ENSG00000241878.12
F8WD26	ENSG00000136153.21
A0A096LP96	ENSG00000184470.21
A0A0C4DH65	ENSG00000133619.18
B1AJQ6	ENSG00000117758.14
J3QKK4	ENSG00000082397.18
J3QQJ4	ENSG00000108582.12
J3QR87	ENSG00000076604.16
Q5JYX0	ENSG00000070831.17
A2A2Q9	ENSG00000131043.13
E7ES10	ENSG00000153113.24
Q5SZX9	ENSG00000163468.15
Q5T4S2	ENSG00000131013.4
A0A1B0GUN7	ENSG00000144285.24
A0A1B0GVF4	ENSG00000179915.25
E7ERV5	ENSG00000197535.16
E7ETK0	ENSG00000138326.21
E7EWS1	ENSG00000151687.15
H7C004	ENSG00000289724.1
H7C1W5	ENSG00000155229.21
H7C2Q0	ENSG00000175287.19
H7C338	ENSG00000205758.12
H7C3G1	ENSG00000114346.14
C9IZX9	ENSG00000165219.23
C9J5K4	ENSG00000146842.17
C9JIU4	ENSG00000131374.15
H7C3B5	ENSG00000131149.19
A0A994J3F1	ENSG00000087470.21
A0A994J3M5	ENSG00000145216.17
A0A994J426	ENSG00000133884.11
A0A994J439	ENSG00000162267.14
A0A994J726	ENSG00000100811.15
A0A9L9PWW3	ENSG00000105819.15
A0A6I8PIF8	ENSG00000159658.15
A0A6I8PRT6	ENSG00000198380.13
E5RJE7	ENSG00000079102.17
S4R3S3	ENSG00000062282.15
H7C1A9	ENSG00000115207.15
J3KSX5	ENSG00000153976.3
J3KT16	ENSG00000166579.16
K7EN33	ENSG00000073536.18
K7EPJ2	ENSG00000197563.11
K7EPQ4	ENSG00000091157.15
K7EPT7	ENSG00000145725.21
K7EPZ4	ENSG00000066651.20
K7ERM3	ENSG00000142453.13
K7ERW6	ENSG00000099341.13
A0A0D9SGD8	ENSG00000187997.12
A0A0U1RQT3	ENSG00000142798.20
C9J286	ENSG00000149532.16
C9JAJ9	ENSG00000102054.18
C9JP06	ENSG00000075790.12
C9JQ63	ENSG00000091704.10
C9JQW5	ENSG00000196335.13
Q5QPB1	ENSG00000107372.13
A0A088AWP5	ENSG00000106772.19
C9J787	ENSG00000127993.16
C9JCP6	ENSG00000075711.21
E9PII7	ENSG00000172732.12
B8ZZJ0	ENSG00000116030.17
E9PEK0	ENSG00000113716.13
E9PG73	ENSG00000138398.17
E9PIY8	ENSG00000005801.18
E9PJK9	ENSG00000085117.12
E9PMD6	ENSG00000149231
E9PMW6	ENSG00000110025.13
E9PQB8	ENSG00000174276.7
G3V2B5	ENSG00000119682.18
G3V4D1	ENSG00000170633.17
H0Y3U1	ENSG00000112137.19
H0YCQ5	ENSG00000141279.18
F5GX38	ENSG00000133103.17
H0Y498	ENSG00000116406.20
H0Y564	ENSG00000153107.13
H0YB95	ENSG00000146373.17
H0YBM8	ENSG00000147421.18
H0YID5	ENSG00000184752.14
H0YJ11	ENSG00000072110.16
A0A0A0MRU9	ENSG00000072518.23
A0A0A0MSH5	ENSG00000112715.26
C9JG41	ENSG00000135916.16
F5GYK6	ENSG00000204574.14
F5H5M8	ENSG00000125409.13
F5H5X5	ENSG00000149485.19
U3KQH8	ENSG00000161281.11
E5RIH3	ENSG00000156011.19
H0YEU1	ENSG00000026508.21
H0YEY4	ENSG00000165609.14
H0YK57	ENSG00000137869.16
H0YMQ3	ENSG00000130164.16
I3L2E3	ENSG00000205629.12
I3L4W4	ENSG00000167720.13
Q5TCH7	ENSG00000054796.13
E2QRH6	ENSG00000146147.15
E5RII0	ENSG00000113721.14
F6TER3	ENSG00000104972.16
H0Y6V5	ENSG00000147050.18
H0Y765	ENSG00000055609.21
H0Y8J0	ENSG00000171497.5
H0YFN7	ENSG00000107036.12
H0YFX9	ENSG00000246705.5
H0YJ63	ENSG00000100591.8
H0YKZ1	ENSG00000151651.16
H0YM08	ENSG00000156381.9
I3L164	ENSG00000141127.15
Q5T1D7	ENSG00000099290.17
A0A087WYF0	ENSG00000121766.16
V9GYH6	ENSG00000160783.19
A0A6Q8PF26	ENSG00000131165.16
A0A6Q8PGB6	ENSG00000105227.16
A0A6Q8PH40	ENSG00000084073.10
A0AA75ISB7	ENSG00000171804.11
A0A804HIP1	ENSG00000177239.16
A0A804HJY5	ENSG00000141556.22
A0A8C8UXK2	ENSG00000100714.18
A0A8I5KQV3	ENSG00000138688.17
A0AAA9YHX9	ENSG00000196557.14
A0A8Q3WKA7	ENSG00000173230.17
A0A8Q3WKQ1	ENSG00000147533.19
A0A8Q3WKS4	ENSG00000140545.16
A0A8Q3WLH0	ENSG00000110888.19
A0A087X1K6	ENSG00000275746.1
A0A0G2JN53	ENSG00000282676.1
A0A0J9YXX3	ENSG00000282291.1
A0A087WUN6	ENSG00000147050.18
A0A087WX69	ENSG00000143811.20
E5RFQ2	ENSG00000112769.20
F8VU35	ENSG00000135454.14
H7C0X1	ENSG00000099949.22
Q5T985	ENSG00000151655.19
D6R8Y0	ENSG00000064042.18
F8VPX5	ENSG00000111596.14
F8VRG2	ENSG00000110851.12
F8VRH6	ENSG00000106799.15
F8VWY4	ENSG00000161800.13
F8VYK7	ENSG00000139220.17
F8W0C2	ENSG00000151322.20
M0QX32	ENSG00000130751.10
M0QXJ9	ENSG00000104936.20
J3KTB6	ENSG00000243156.9
M0QXW0	ENSG00000170848.16
M0QYG1	ENSG00000088247.19
M0QZU4	ENSG00000105695.15
M0R036	ENSG00000268163.1
M0R117	ENSG00000105640.13
H3BMB0	ENSG00000189091.13
H3BMD3	ENSG00000186073.14
H3BMQ0	ENSG00000103197.20
H3BNJ6	ENSG00000047578.14
H3BNP0	ENSG00000169181.13
H3BPF9	ENSG00000172775.18
H3BQQ6	ENSG00000172775.18
M0R307	ENSG00000123815.13
E5RJG2	ENSG00000188994.14
S4R387	ENSG00000174527.11
K7EKT3	ENSG00000105607.14
K7EQ48	ENSG00000105220.17
M0R1G0	ENSG00000160410.15
J3KSC7	ENSG00000072134.16
J3KSH1	ENSG00000196704.14
J3KTP2	ENSG00000116213.16
K7EIS7	ENSG00000205517.13
K7EJZ2	ENSG00000184640.20
K7EK37	ENSG00000127452.9
K7EKX2	ENSG00000175221.16
A0A0B4J227	ENSG00000186086.19
D6RC99	ENSG00000061918.14
D6RIH2	ENSG00000152359.15
F8WCI8	ENSG00000163617.11
F8WD25	ENSG00000164776.11
F8WE84	ENSG00000115091.12
F8WB54	ENSG00000163701.19
F8WCV8	ENSG00000241484.10
F8WDY2	ENSG00000180855.16
J3QSD7	ENSG00000167258.16
B8A598	ENSG00000188064.10
A0A1B0GTG4	ENSG00000266094.8
A0A1B0GVE7	ENSG00000104763.20
A0A1B0GVY6	ENSG00000149084.13
A0A1B0GW97	ENSG00000028277.22
E7EMX4	ENSG00000129167.11
H7C4C1	ENSG00000095209.12
H7C5U6	ENSG00000113360.17
A0A8V8TLV7	ENSG00000135636.16
A0A8V8TME1	ENSG00000205838.15
A0A8V8TMH9	ENSG00000076928.20
A0A8V8TMI1	ENSG00000013375.17
A0A8V8TN54	ENSG00000135905.21
A0A8V8TNR9	ENSG00000204296.13
A0A8V8TQA7	ENSG00000092847.14
A0A8V8TR37	ENSG00000135506.17
A0A8V8TRB8	ENSG00000152969.21
A0A994J4G3	ENSG00000011523.15
A0A994J4K4	ENSG00000266714.11
A0A140T9H4	ENSG00000231372.8
A0A140T9T3	ENSG00000242361.7
A0A0C4DFV2	ENSG00000149657.20
A0A0C4DGI8	ENSG00000178498.16
A0A0U1RR47	ENSG00000247595.5
A0A0D9SF04	ENSG00000188603.22
A0A0G2JN45	ENSG00000278726.4
E7EX54	ENSG00000112062.12
H7C419	ENSG00000160917.15
C9J115	ENSG00000155744.10
C9J1X8	ENSG00000127947.16
C9J578	ENSG00000113810.16
C9JBJ1	ENSG00000159131.17
C9JCB7	ENSG00000115652.15
C9JID4	ENSG00000138386.17
C9JKG0	ENSG00000073849
C9JPG9	ENSG00000128513.16
C9JQX7	ENSG00000115380.20
C9JS55	ENSG00000120913.24
C9JSB7	ENSG00000084453.17
A0A0A0MQX1	ENSG00000145555.15
C9J6B2	ENSG00000185347.19
C9JC73	ENSG00000115548.17
C9JEL7	ENSG00000003509.16
C9JEW7	ENSG00000001631.17
E9PD10	ENSG00000170180.22
G3V4Y2	ENSG00000100739.11
X6RFQ9	ENSG00000175287.19
B9A035	ENSG00000122643.23
E9PCY5	ENSG00000077097.17
E9PIN5	ENSG00000175274.19
E9PJ50	ENSG00000180035.13
E9PJQ8	ENSG00000174871.11
E9PKZ0	ENSG00000161016.18
E9PL31	ENSG00000176381.6
E9PLU5	ENSG00000135365.17
E9PN18	ENSG00000179950.15
E9PN25	ENSG00000109971.14
E9PNU7	ENSG00000119714.11
E9PPW7	ENSG00000110717.13
E9PQF3	ENSG00000101413.12
E9PR13	ENSG00000152578.15
E9PRB9	ENSG00000118363.13
E9PSA6	ENSG00000014216.16
G3V2J3	ENSG00000118307.20
G3V2L5	ENSG00000119723.17
G3V2Z3	ENSG00000100583.5
G3V3B1	ENSG00000198718.13
H0Y3U5	ENSG00000163331.12
H0Y5A9	ENSG00000142798.20
H0YC20	ENSG00000156011.19
H0YC46	ENSG00000157110.16
H0YC78	ENSG00000113272.14
H0YCV0	ENSG00000159063.14
C9JBA2	ENSG00000163728.11
F5GXK4	ENSG00000132405.19
F5H3Z2	ENSG00000196387.10
F5H6M0	ENSG00000149532.16
F5H7M7	ENSG00000149187.19
F5H890	ENSG00000111325.16
F5H8K0	ENSG00000111700.13
A0A0A0MRS1	ENSG00000189180.16
A0A0A0MSQ5	ENSG00000171984.15
A0A0A0MSW5	ENSG00000170100.14
A0A0A0MSZ2	ENSG00000225899.8
F5H4F6	ENSG00000072518.23
F5H6B6	ENSG00000149743.14
H0YGN8	ENSG00000214530.10
I3L0M4	ENSG00000175866.16
I3L2M1	ENSG00000180096.13
F5H2P0	ENSG00000110900.16
H0YK77	ENSG00000196547.15
H0YM19	ENSG00000128891.17
H0YNE9	ENSG00000166128.13
I3L0K0	ENSG00000167264.18
Q5T4Q7	ENSG00000137101.14
A0A0J9YVP4	ENSG00000277221.2
A0A0J9YXP5	ENSG00000276971.2
A8XR14	ENSG00000102445.20
H0YCU0	ENSG00000054938.17
H0YGY7	ENSG00000139151.16
A0A087WTK2	ENSG00000103549.22
A0A087WUX1	ENSG00000151023.17
A6PVV7	ENSG00000143373.18
E5RK69	ENSG00000197043.15
H0YEG5	ENSG00000171204.13
H0YEV9	ENSG00000196535.20
H0YNB1	ENSG00000103657.14
I3L2V2	ENSG00000153933.10
A0A087WTE0	ENSG00000006534.17
A0A087WU54	ENSG00000006534.17
A0A087X224	ENSG00000260456.7
D6RAN9	ENSG00000113494.17
R4GN63	ENSG00000156398.13
H7C0S8	ENSG00000249319.2
H7C0W4	ENSG00000173559.15
H7C436	ENSG00000168781.24
A0A087X1D6	ENSG00000099864.18
F8VVW9	ENSG00000139531.13
A0A075B774	ENSG00000141338.15
F8VWP7	ENSG00000180881.21
F8VZ57	ENSG00000139546.12
E5RI29	ENSG00000169398.20
M0QXP2	ENSG00000221826.10
M0QXP3	ENSG00000105700.11
M0R0D9	ENSG00000170954.12
M0R362	ENSG00000123815.13
E5RHD1	ENSG00000113360.17
H3BMB5	ENSG00000048462.11
H3BN48	ENSG00000169783.13
H3BNA7	ENSG00000135709.14
H3BSM8	ENSG00000123358.20
S4R2Y5	ENSG00000132334.17
A0A0B4J2B1	ENSG00000078142.14
D6RC00	ENSG00000113430.10
D6REJ8	ENSG00000150625.17
D6RFL2	ENSG00000232859.10
F8W7U8	ENSG00000020922.13
F8W946	ENSG00000106701.13
F8WAR8	ENSG00000144043.13
F8WC75	ENSG00000152256.14
F8WCB8	ENSG00000140718.22
F8WDB8	ENSG00000163630.11
F8WEU0	ENSG00000136682.16
A6PVJ7	ENSG00000125826.22
B1AMU3	ENSG00000171311.13
D6RED3	ENSG00000197530.13
J3QRI4	ENSG00000189186.11
J3QS30	ENSG00000124422.12
A0A286YF57	ENSG00000280204.4
E5RI70	ENSG00000164741.15
J3KRQ8	ENSG00000176155.21
J3KSW7	ENSG00000136450.13
J3KT14	ENSG00000079134.13
J3KTE1	ENSG00000158201.10
K7EIH6	ENSG00000141401.12
K7EJG9	ENSG00000161914.10
K7EJQ6	ENSG00000167645.17
K7EKB8	ENSG00000141664.10
K7EL79	ENSG00000161914.10
K7ELG1	ENSG00000178904.19
K7EMZ8	ENSG00000129351.18
K7ENG9	ENSG00000108639.8
K7ENP2	ENSG00000108799.13
K7EPX1	ENSG00000196263.8
K7ER08	ENSG00000126254.12
K7ES05	ENSG00000197256.11
U3KQ48	ENSG00000124383.11
K7EIW1	ENSG00000197808.14
K7EKP2	ENSG00000108849.8
K7EN91	ENSG00000068120.15
K7ERB5	ENSG00000187266.14
A0A0D9SEN0	ENSG00000070785.17
A0A096LPE0	ENSG00000142541.18
A2A3H1	ENSG00000126217.22
J3QRE1	ENSG00000265303.1
Q5JRL0	ENSG00000238269.9
Q5JYC0	ENSG00000197183.15
A0A1B0GUG9	ENSG00000180530.11
B1AMU4	ENSG00000171311.13
E7EV07	ENSG00000136002.21
E7EVW6	ENSG00000204580.14
H7C097	ENSG00000182670.14
H7C2Y7	ENSG00000128641.19
H7C484	ENSG00000173409.14
J3QLB0	ENSG00000187323.13
A0A1B0GTR1	ENSG00000175198.17
C9J415	ENSG00000197548.13
C9J5A3	ENSG00000173641.18
C9JIG9	ENSG00000172939.9
E7EWK7	ENSG00000143748.18
H7C1W8	ENSG00000182158.16
H7C3X0	ENSG00000198408.14
H7C405	ENSG00000145107.16
C9J014	ENSG00000106266.11
C9J1P6	ENSG00000125931.11
C9J367	ENSG00000174891.14
C9J5B4	ENSG00000114416.19
C9JIX1	ENSG00000048991.18
C9JKC2	ENSG00000182473.22
C9JM50	ENSG00000171345.13
C9JPS5	ENSG00000139540.12
C9JRZ6	ENSG00000106554.13
H7BY05	ENSG00000198286.11
A0A0A0MQZ0	ENSG00000189430.13
C9JCY2	ENSG00000198520.12
C9JEP1	ENSG00000115504.15
C9JK45	ENSG00000127526.15
C9JMV8	ENSG00000112053.14
E9PMU0	ENSG00000135372.10
E9PPY8	ENSG00000183020.15
G3V449	ENSG00000080815.20
B8ZZC5	ENSG00000115419.14
E9PAN4	ENSG00000186517.14
E9PLJ1	ENSG00000149534.9
E9PSD3	ENSG00000172500.13
G3V3J5	ENSG00000100445.18
G3V4P8	ENSG00000197045.14
G5E9P5	ENSG00000172590.18
H0YBB1	ENSG00000185842.16
H0YBM3	ENSG00000132561.14
H9KVC1	ENSG00000122068.13
C9JMQ9	ENSG00000114796.16
E5RI00	ENSG00000120533.13
H0Y566	ENSG00000136636.13
H0YCU9	ENSG00000149591.17
H0YJG5	ENSG00000171735.21
J9JIH8	ENSG00000182173.14
V9GYJ8	ENSG00000234906.11
F5GX45	ENSG00000175567.11
F5H4P9	ENSG00000118507.19
U3KQU8	ENSG00000154814.14
A0A2R8YDR7	ENSG00000160221.18
A0A2R8YEZ0	ENSG00000164074.17
A0A0G2JLX3	ENSG00000277060.4
A0A0G2JM43	ENSG00000275730.4
A0A0G2JQQ5	ENSG00000114062.22
F5H437	ENSG00000110092.4
A0A0A0MT61	ENSG00000101844.18
A2A3F8	ENSG00000119333.12
F5H1Q2	ENSG00000162144.10
H0Y919	ENSG00000058729.11
H0YGS6	ENSG00000047621.12
I3L1U9	ENSG00000184009
U3KQI8	ENSG00000155096.15
X1WI29	ENSG00000196878.15
H0Y9D0	ENSG00000188818.13
H0Y9Z2	ENSG00000129048.7
H0YAA1	ENSG00000124406.17
H0YBQ9	ENSG00000156170.14
H0YJQ5	ENSG00000172717.17
H0YJZ5	ENSG00000125618.18
H0YK19	ENSG00000137857.18
H0YKB5	ENSG00000140545.16
H0YLX5	ENSG00000166262.16
I3L2W3	ENSG00000108559.13
I3L505	ENSG00000004779.10
I3L521	ENSG00000255663.1
Q5VZN3	ENSG00000173258.13
A0A087WWJ5	ENSG00000149294.18
A0A087WZ82	ENSG00000255245.4
A0A087X0B4	ENSG00000151150.22
A0A087X118	ENSG00000203485.14
D6RCR2	ENSG00000114547.10
R4GMW2	ENSG00000214021.19
D6RD17	ENSG00000132465.12
G3V247	ENSG00000021645.20
H7C0L5	ENSG00000055955.17
H9KV77	ENSG00000172301.11
A0A075B714	ENSG00000211882.1
A0A075B768	ENSG00000134444.15
A0A075B795	ENSG00000197446.9
F8VW18	ENSG00000175203.17
F8VW29	ENSG00000139318.8
F8W150	ENSG00000076513.17
F8W184	ENSG00000175215.11
F8W1T6	ENSG00000076067.14
F8W226	ENSG00000123427.17
H7BZG2	ENSG00000144278.15
M0R0B4	ENSG00000105700.11
M0R0Z4	ENSG00000126583.12
A0A2R8Y4I3	ENSG00000157103.13
A0A2R8YDJ8	ENSG00000079335.20
A0A2R8YEH2	ENSG00000136104.22
A0A2R8YFD1	ENSG00000198836.11
A0A2R8YGV1	ENSG00000204842.18
A0A3B3IRP7	ENSG00000164619.10
A0A3B3IRY2	ENSG00000242802.9
A0A3B3ISK4	ENSG00000100138.15
A0A3B3ISX9	ENSG00000168477.21
A0A3B3ITR5	ENSG00000130958.13
A0A3B3IU48	ENSG00000112139.17
A0A8V8TPP8	ENSG00000092929.13
A0A1W2PP66	ENSG00000175193.14
A0A1W2PQR2	ENSG00000188649.16
M0QYA0	ENSG00000198093.11
A6ND22	ENSG00000182180.14
H3BP57	ENSG00000178802.18
H3BQ29	ENSG00000047346.13
H3BRD8	ENSG00000090863.12
H3BRJ7	ENSG00000069329.19
H3BRM0	ENSG00000140650.13
H3BSJ2	ENSG00000047346.13
H3BTD3	ENSG00000128989.11
S4R3A9	ENSG00000139629.16
J3KRX0	ENSG00000129226.14
K7EIL0	ENSG00000257949.7
K7ESQ2	ENSG00000161888.12
S4R3G4	ENSG00000089094.20
S4R3U9	ENSG00000125037
A0A0G2JQF1	ENSG00000280514.1
F2Z3N7	ENSG00000106460.20
H3BTX6	ENSG00000170540.15
H7BZR6	ENSG00000173692.14
J3KSL5	ENSG00000008283.16
J3KSN5	ENSG00000182040.9
K7EIY3	ENSG00000129667.13
K7EPB7	ENSG00000091164.13
K7ERL3	ENSG00000130202.10
M0R1X5	ENSG00000197372.10
V9GYY1	ENSG00000198715.13
A0A0C4DGU5	ENSG00000048162.22
A0A7I2V3G6	ENSG00000104218.16
A0A7I2V3R6	ENSG00000001497.18
A0A7I2V3X1	ENSG00000174080.12
A0A7I2V4G2	ENSG00000082701.17
A0A7I2V4R5	ENSG00000104218.16
A0A7I2V517	ENSG00000158864.13
A0A7I2V629	ENSG00000138398.17
A0A7I2YQ97	ENSG00000168615.13
A0A7I2YQB6	ENSG00000067057.19
A0A7I2YQT1	ENSG00000166352.18
A0AAG2TF08	ENSG00000283777.2
A0AAG2UWL8	ENSG00000292276.1
A0A2R8Y5W0	ENSG00000188153.14
A0A669KAB9	ENSG00000092529.26
A0A6I8PLA6	ENSG00000165868.16
A0A804CL36	ENSG00000158290.19
A0A6Q8PG71	ENSG00000196233.14
A0A6Q8PGA8	ENSG00000106105.15
A0A494C0B8	ENSG00000131778.20
A0A8I5KX99	ENSG00000205084.12
A0A2U3TZI3	ENSG00000157087.20
A0A2U3TZL4	ENSG00000101977.22
A0A3B3IUD5	ENSG00000115828.17
A0A3B3IRP0	ENSG00000150995.21
A0A3B3IU28	ENSG00000100092.24
A0A8V8TLU9	ENSG00000141524.19
A0A8V8TQB7	ENSG00000108559.13
A0A8V8TQC9	ENSG00000147010.19
A0A3B3IT92	ENSG00000104738.19
A0A1W2PPZ1	ENSG00000156113.25
A0A1W2PQL7	ENSG00000007372.25
A0A9L9PYG5	ENSG00000179603.19
A0A6I8PRA0	ENSG00000070814.22
A0A6Q8PGV4	ENSG00000106692.15
A0A6Q8PH52	ENSG00000203485.14
A0A8I5KPD4	ENSG00000101333.19
A0A8I5KPS6	ENSG00000181555.22
A0A8I5KUE1	ENSG00000122483.18
A0A8I5QL03	ENSG00000122877.18
A0A8I5QL11	ENSG00000272333.8
A0AAA9YHI4	ENSG00000181143.17
A0AAQ5BGL9	ENSG00000124615.21
A0AAQ5BGS1	ENSG00000118729.14
A0AAQ5BIF8	ENSG00000115221.13
A0AAQ5BHV1	ENSG00000141646.17
A0A590UJV3	ENSG00000157193.18
A0A590UJ57	ENSG00000157193.18
A0A590UJD0	ENSG00000154358.23
A0A590UJJ5	ENSG00000006695.12
A0A7P0T8R6	ENSG00000119922.11
A0A7P0TA46	ENSG00000171631.16
A0A7P0TAU8	ENSG00000111331.14
A0A7P0TBQ3	ENSG00000164430.17
A0A7P0Z4A4	ENSG00000100749.9
A0A7P0Z4D4	ENSG00000135297.17
A0A7I2V3W0	ENSG00000135486.19
A0A7I2V643	ENSG00000183735.11
A0AAG2UXL4	ENSG00000288309.2
A0A804HHU1	ENSG00000177239.16
A0A804HKE7	ENSG00000047849.22
A0A804HKP6	ENSG00000135317.14
A0A8Q3WKW2	ENSG00000000971.17
A0A8Q3WL22	ENSG00000185651.16
A0A8Q3WMF6	ENSG00000182670.14
A0A8V8TMP2	ENSG00000197943.12
A0A8V8TPS5	ENSG00000108559.13
A0A8V8TQC1	ENSG00000231925.14
A0A8V8TQI9	ENSG00000135506.17
A0A494C181	ENSG00000072756.18
A0A6Q8PF63	ENSG00000109654.16
A0A2R8Y579	ENSG00000153303.18
A0A2R8YF29	ENSG00000125779.24
A0A2U3TZL8	ENSG00000137807.16
A0A3B3ISN0	ENSG00000164619.10
H3BN32	ENSG00000260916.8
H3BNF4	ENSG00000140262.18
H3BPX7	ENSG00000168907.13
H3BRH3	ENSG00000158545.16
H3BRU8	ENSG00000188603.22
H3BST8	ENSG00000103034.15
M0QYT4	ENSG00000108474.17
M0R1L5	ENSG00000011243.19
V9GYR7	ENSG00000166313.20
A0A0A0MTR5	ENSG00000178922.18
A6NGQ4	ENSG00000125703.15
J3KS28	ENSG00000159640.17
J3KT29	ENSG00000125691.14
J3KT47	ENSG00000177731.16
J3KTR2	ENSG00000133027.18
K7EJ70	ENSG00000130175.10
K7ELP9	ENSG00000104892.17
S4R3P5	ENSG00000139428.12
H3BSV3	ENSG00000166589.13
H7C1X8	ENSG00000138468.16
J3KRF4	ENSG00000224383.8
J3KTI5	ENSG00000141736.14
K7EJC9	ENSG00000070526.15
K7EKL6	ENSG00000175662.18
K7ELT9	ENSG00000087157.19
K7EMK7	ENSG00000065717.16
K7ERM4	ENSG00000141458.13
A0A0U1RQI5	ENSG00000095637.23
A0A3B3IRX1	ENSG00000285932.1
A0A3B3ISB1	ENSG00000134516.20
A0A3B3ITL1	ENSG00000129472.15
A0A8V8TMX0	ENSG00000167323.13
A0A8V8TQQ2	ENSG00000102471.16
A0A3B3IRU9	ENSG00000179455.10
A0A7I2V2S8	ENSG00000115053.17
A0A7I2V3N1	ENSG00000149474.15
A0A1W2PQM7	ENSG00000007372.25
A0A1W2PQP0	ENSG00000177807.11
A0A286YEY8	ENSG00000164073.11
A0A140T9V7	ENSG00000242685.7
A0A0J9YY63	ENSG00000282318.1
A0A6Q8PG92	ENSG00000147050.18
A0AAG2SWV4	ENSG00000273554.4
A0A6I8PIX2	ENSG00000165868.16
A0A6Q8PGC4	ENSG00000070061.16
A0A804HHW0	ENSG00000055609.21
A0A804HHX4	ENSG00000151348.16
A0A804HIT1	ENSG00000162650.17
A0A804HJM6	ENSG00000142208.19
A0A804HJZ4	ENSG00000135317.14
A0A8I5KPY2	ENSG00000167004.14
A0A8I5KTG3	ENSG00000134313.17
A0A8I5KTG7	ENSG00000167216.19
